game,user,rating
96,a_p_t_e_m_u_u,1370
1,vladimir-kramnik-1,1573
2,vladimir-kramnik-1,1573
3,vladimir-kramnik-1,1586
4,vladimir-kramnik-1,1586
5,vladimir-kramnik-1,1586
6,vladimir-kramnik-1,1584
7,vladimir-kramnik-1,1564
8,vladimir-kramnik-1,1586
9,vladimir-kramnik-1,1584
10,vladimir-kramnik-1,1564
11,vladimir-kramnik-1,1607
12,vladimir-kramnik-1,1607
13,vladimir-kramnik-1,1595
14,vladimir-kramnik-1,1595
15,vladimir-kramnik-1,1610
16,vladimir-kramnik-1,1610
17,vladimir-kramnik-1,1626
18,vladimir-kramnik-1,1626
19,vladimir-kramnik-1,1619
20,vladimir-kramnik-1,1610
21,vladimir-kramnik-1,1619
22,vladimir-kramnik-1,1610
23,vladimir-kramnik-1,1579
24,vladimir-kramnik-1,1597
25,vladimir-kramnik-1,1579
26,vladimir-kramnik-1,1597
27,vladimir-kramnik-1,1577
28,vladimir-kramnik-1,1557
29,vladimir-kramnik-1,1567
30,vladimir-kramnik-1,1577
31,vladimir-kramnik-1,1557
32,vladimir-kramnik-1,1567
33,vladimir-kramnik-1,1432
34,vladimir-kramnik-1,1432
35,vladimir-kramnik-1,1566
36,vladimir-kramnik-1,1566
37,vladimir-kramnik-1,1573
38,vladimir-kramnik-1,1557
39,vladimir-kramnik-1,1423
40,vladimir-kramnik-1,1573
41,vladimir-kramnik-1,1557
42,vladimir-kramnik-1,1423
43,vladimir-kramnik-1,1565
44,vladimir-kramnik-1,1565
45,vladimir-kramnik-1,1610
46,vladimir-kramnik-1,1618
47,vladimir-kramnik-1,1602
48,vladimir-kramnik-1,1581
49,vladimir-kramnik-1,1610
50,vladimir-kramnik-1,1618
51,vladimir-kramnik-1,1602
52,vladimir-kramnik-1,1581
53,vladimir-kramnik-1,1651
54,vladimir-kramnik-1,1638
55,vladimir-kramnik-1,1623
56,vladimir-kramnik-1,1651
57,vladimir-kramnik-1,1638
58,vladimir-kramnik-1,1623
59,vladimir-kramnik-1,1663
60,vladimir-kramnik-1,1663
61,vladimir-kramnik-1,1675
62,vladimir-kramnik-1,1675
63,vladimir-kramnik-1,1687
64,vladimir-kramnik-1,1687
65,vladimir-kramnik-1,1677
66,vladimir-kramnik-1,1677
67,vladimir-kramnik-1,1689
68,vladimir-kramnik-1,1689
69,vladimir-kramnik-1,1706
70,vladimir-kramnik-1,1701
71,vladimir-kramnik-1,1706
72,vladimir-kramnik-1,1701
73,vladimir-kramnik-1,1693
74,vladimir-kramnik-1,1693
75,vladimir-kramnik-1,1698
76,vladimir-kramnik-1,1698
77,vladimir-kramnik-1,1724
78,vladimir-kramnik-1,1713
79,vladimir-kramnik-1,1703
80,vladimir-kramnik-1,1689
81,vladimir-kramnik-1,1724
82,vladimir-kramnik-1,1713
83,vladimir-kramnik-1,1703
84,vladimir-kramnik-1,1689
85,vladimir-kramnik-1,1698
86,vladimir-kramnik-1,1708
87,vladimir-kramnik-1,1698
88,vladimir-kramnik-1,1708
89,vladimir-kramnik-1,1685
90,vladimir-kramnik-1,1685
91,vladimir-kramnik-1,1674
92,vladimir-kramnik-1,1674
93,vladimir-kramnik-1,1653
94,vladimir-kramnik-1,1663
95,vladimir-kramnik-1,1653
96,vladimir-kramnik-1,1663
1,king5891,1400
2,king5891,1400
3,king5891,1400
4,king5891,1400
5,king5891,1400
6,king5891,1400
7,king5891,1400
8,king5891,1400
9,king5891,1400
10,king5891,1400
11,king5891,1400
12,king5891,1400
13,king5891,1400
14,king5891,1400
15,king5891,1400
16,king5891,1400
17,king5891,1400
18,king5891,1400
19,king5891,1400
20,king5891,1400
21,king5891,1400
22,king5891,1400
23,king5891,1400
24,king5891,1400
25,king5891,1400
26,king5891,1400
27,king5891,1400
28,king5891,1400
29,king5891,1400
30,king5891,1400
31,king5891,1400
32,king5891,1400
33,king5891,1400
34,king5891,1400
35,king5891,1400
36,king5891,1400
37,king5891,1400
38,king5891,1400
39,king5891,1400
40,king5891,1400
41,king5891,1400
42,king5891,1400
43,king5891,1400
44,king5891,1400
45,king5891,1400
46,king5891,1400
47,king5891,1400
48,king5891,1400
49,king5891,1400
50,king5891,1400
51,king5891,1400
52,king5891,1400
53,king5891,1400
54,king5891,1400
55,king5891,1400
56,king5891,1400
57,king5891,1400
58,king5891,1400
59,king5891,1400
60,king5891,1400
61,king5891,1400
62,king5891,1400
63,king5891,1400
64,king5891,1400
65,king5891,1400
66,king5891,1400
67,king5891,1400
68,king5891,1400
69,king5891,1400
70,king5891,1400
71,king5891,1400
72,king5891,1400
73,king5891,1400
74,king5891,1400
75,king5891,1400
76,king5891,1400
77,king5891,1400
78,king5891,1400
1,saviter,1679
2,saviter,1689
3,saviter,1701
4,saviter,1695
5,saviter,1706
6,saviter,1717
7,saviter,1728
8,saviter,1719
9,saviter,1719
10,saviter,1710
11,saviter,1722
12,saviter,1732
13,saviter,1740
14,saviter,1737
15,saviter,1729
16,saviter,1722
17,saviter,1713
18,saviter,1698
19,saviter,1690
20,saviter,1681
21,saviter,1681
22,saviter,1696
23,saviter,1707
24,saviter,1724
25,saviter,1735
26,saviter,1744
27,saviter,1730
28,saviter,1719
29,saviter,1709
30,saviter,1694
31,saviter,1684
32,saviter,1695
33,saviter,1683
34,saviter,1693
35,saviter,1702
36,saviter,1713
37,saviter,1724
38,saviter,1730
39,saviter,1730
40,saviter,1719
41,saviter,1709
42,saviter,1694
43,saviter,1684
44,saviter,1695
45,saviter,1683
46,saviter,1693
47,saviter,1702
48,saviter,1713
49,saviter,1724
50,saviter,1744
51,saviter,1730
52,saviter,1724
53,saviter,1735
54,saviter,1681
55,saviter,1696
56,saviter,1707
57,saviter,1698
58,saviter,1690
59,saviter,1681
60,saviter,1713
61,saviter,1722
62,saviter,1737
63,saviter,1729
64,saviter,1732
65,saviter,1740
66,saviter,1722
67,saviter,1710
68,saviter,1719
69,saviter,1719
70,saviter,1706
71,saviter,1717
72,saviter,1728
73,saviter,1695
74,saviter,1701
75,saviter,1679
76,saviter,1689
1,anakgreget,1722
2,anakgreget,1709
3,anakgreget,1720
4,anakgreget,1706
5,anakgreget,1717
6,anakgreget,1718
7,anakgreget,1714
8,anakgreget,1723
9,anakgreget,1732
10,anakgreget,1719
11,anakgreget,1730
12,anakgreget,1741
13,anakgreget,1763
14,anakgreget,1761
15,anakgreget,1750
16,anakgreget,1747
17,anakgreget,1735
18,anakgreget,1671
19,anakgreget,1671
20,anakgreget,1681
21,anakgreget,1691
22,anakgreget,1678
23,anakgreget,1663
24,anakgreget,1674
25,anakgreget,1717
26,anakgreget,1712
27,anakgreget,1730
28,anakgreget,1731
29,anakgreget,1717
30,anakgreget,1621
31,anakgreget,1645
32,anakgreget,1659
33,anakgreget,1645
34,anakgreget,1655
35,anakgreget,1667
36,anakgreget,1654
37,anakgreget,1671
38,anakgreget,1621
39,anakgreget,1645
40,anakgreget,1659
41,anakgreget,1645
42,anakgreget,1655
43,anakgreget,1667
44,anakgreget,1654
45,anakgreget,1671
46,anakgreget,1671
47,anakgreget,1671
48,anakgreget,1681
49,anakgreget,1691
50,anakgreget,1678
51,anakgreget,1663
52,anakgreget,1674
53,anakgreget,1717
54,anakgreget,1712
55,anakgreget,1730
56,anakgreget,1731
57,anakgreget,1717
58,anakgreget,1714
59,anakgreget,1723
60,anakgreget,1732
61,anakgreget,1719
62,anakgreget,1730
63,anakgreget,1741
64,anakgreget,1763
65,anakgreget,1761
66,anakgreget,1750
67,anakgreget,1747
68,anakgreget,1735
69,anakgreget,1722
70,anakgreget,1709
71,anakgreget,1720
72,anakgreget,1706
73,anakgreget,1717
74,anakgreget,1718
1,ducksandcats,1821
2,ducksandcats,1821
3,ducksandcats,1821
4,ducksandcats,1821
5,ducksandcats,1821
6,ducksandcats,1821
7,ducksandcats,1821
8,ducksandcats,1821
9,ducksandcats,1821
10,ducksandcats,1821
11,ducksandcats,1830
12,ducksandcats,1830
13,ducksandcats,1830
14,ducksandcats,1842
15,ducksandcats,1858
16,ducksandcats,1845
17,ducksandcats,1856
18,ducksandcats,1867
19,ducksandcats,1864
20,ducksandcats,1851
21,ducksandcats,1861
22,ducksandcats,1861
23,ducksandcats,1878
24,ducksandcats,1878
25,ducksandcats,1873
26,ducksandcats,1873
27,ducksandcats,1875
28,ducksandcats,1864
29,ducksandcats,1853
30,ducksandcats,1840
31,ducksandcats,1832
32,ducksandcats,1824
33,ducksandcats,1841
34,ducksandcats,1834
35,ducksandcats,1851
36,ducksandcats,1832
37,ducksandcats,1824
38,ducksandcats,1840
39,ducksandcats,1873
40,ducksandcats,1875
41,ducksandcats,1864
42,ducksandcats,1853
43,ducksandcats,1873
44,ducksandcats,1878
45,ducksandcats,1845
46,ducksandcats,1856
47,ducksandcats,1867
48,ducksandcats,1864
49,ducksandcats,1851
50,ducksandcats,1861
51,ducksandcats,1861
52,ducksandcats,1878
53,ducksandcats,1858
54,ducksandcats,1830
55,ducksandcats,1830
56,ducksandcats,1842
57,ducksandcats,1821
58,ducksandcats,1830
59,ducksandcats,1821
60,ducksandcats,1821
61,ducksandcats,1821
62,ducksandcats,1821
63,ducksandcats,1821
64,ducksandcats,1821
65,ducksandcats,1821
66,ducksandcats,1821
67,ducksandcats,1821
68,ducksandcats,1821
69,ducksandcats,1821
1,chess-brahs,2036
2,chess-brahs,1950
3,chess-brahs,1950
4,chess-brahs,1950
5,chess-brahs,1950
6,chess-brahs,1950
7,chess-brahs,1950
8,chess-brahs,1950
9,chess-brahs,1950
10,chess-brahs,2036
11,chess-brahs,2036
12,chess-brahs,2023
13,chess-brahs,2008
14,chess-brahs,1990
15,chess-brahs,1990
16,chess-brahs,1990
17,chess-brahs,1990
18,chess-brahs,1990
19,chess-brahs,1980
20,chess-brahs,1967
21,chess-brahs,1967
22,chess-brahs,1967
23,chess-brahs,1967
24,chess-brahs,1967
25,chess-brahs,1967
26,chess-brahs,1967
27,chess-brahs,1990
28,chess-brahs,1980
29,chess-brahs,1967
30,chess-brahs,1990
31,chess-brahs,1980
32,chess-brahs,1967
33,chess-brahs,1990
34,chess-brahs,1990
35,chess-brahs,1990
36,chess-brahs,1990
37,chess-brahs,1990
38,chess-brahs,1990
39,chess-brahs,2023
40,chess-brahs,2008
41,chess-brahs,1990
42,chess-brahs,2023
43,chess-brahs,2008
44,chess-brahs,1990
45,chess-brahs,1950
46,chess-brahs,1950
47,chess-brahs,1950
48,chess-brahs,1950
49,chess-brahs,1950
50,chess-brahs,2036
51,chess-brahs,2036
52,chess-brahs,2036
53,chess-brahs,1950
54,chess-brahs,1950
55,chess-brahs,1950
56,chess-brahs,1950
57,chess-brahs,1950
58,chess-brahs,2036
59,chess-brahs,2036
60,chess-brahs,1950
61,chess-brahs,1950
62,chess-brahs,1950
63,chess-brahs,1950
64,chess-brahs,1950
65,chess-brahs,1950
1,mastersalomon,1978
2,mastersalomon,1981
3,mastersalomon,1971
4,mastersalomon,1953
5,mastersalomon,1956
6,mastersalomon,1978
7,mastersalomon,1981
8,mastersalomon,1971
9,mastersalomon,1953
10,mastersalomon,1956
11,mastersalomon,1976
12,mastersalomon,1970
13,mastersalomon,1976
14,mastersalomon,1970
15,mastersalomon,1969
16,mastersalomon,1975
17,mastersalomon,1968
18,mastersalomon,1961
19,mastersalomon,1979
20,mastersalomon,1971
21,mastersalomon,1979
22,mastersalomon,1992
23,mastersalomon,1981
24,mastersalomon,1972
25,mastersalomon,1971
26,mastersalomon,1970
27,mastersalomon,1971
28,mastersalomon,1969
29,mastersalomon,1975
30,mastersalomon,1968
31,mastersalomon,1961
32,mastersalomon,1979
33,mastersalomon,1971
34,mastersalomon,1979
35,mastersalomon,1992
36,mastersalomon,1981
37,mastersalomon,1972
38,mastersalomon,1971
39,mastersalomon,1970
40,mastersalomon,1970
41,mastersalomon,1980
42,mastersalomon,1970
43,mastersalomon,1980
44,mastersalomon,1909
45,mastersalomon,1923
46,mastersalomon,1929
47,mastersalomon,1935
48,mastersalomon,1924
49,mastersalomon,1916
50,mastersalomon,1931
51,mastersalomon,1927
52,mastersalomon,1943
53,mastersalomon,1942
54,mastersalomon,1957
55,mastersalomon,1909
56,mastersalomon,1923
57,mastersalomon,1929
58,mastersalomon,1935
59,mastersalomon,1924
60,mastersalomon,1916
61,mastersalomon,1931
62,mastersalomon,1927
63,mastersalomon,1943
64,mastersalomon,1942
65,mastersalomon,1957
1,artem555,1556
2,artem555,1566
3,artem555,1566
4,artem555,1618
5,artem555,1632
6,artem555,1635
7,artem555,1654
8,artem555,1647
9,artem555,1640
10,artem555,1632
11,artem555,1616
12,artem555,1606
13,artem555,1594
14,artem555,1605
15,artem555,1605
16,artem555,1589
17,artem555,1581
18,artem555,1571
19,artem555,1568
20,artem555,1564
21,artem555,1582
22,artem555,1571
23,artem555,1555
24,artem555,1555
25,artem555,1543
26,artem555,1536
27,artem555,1545
28,artem555,1546
29,artem555,1566
30,artem555,1554
31,artem555,1567
32,artem555,1567
33,artem555,1566
34,artem555,1566
35,artem555,1556
36,artem555,1567
37,artem555,1554
38,artem555,1567
39,artem555,1566
40,artem555,1546
41,artem555,1545
42,artem555,1536
43,artem555,1543
44,artem555,1555
45,artem555,1555
46,artem555,1582
47,artem555,1571
48,artem555,1564
49,artem555,1581
50,artem555,1571
51,artem555,1568
52,artem555,1589
53,artem555,1605
54,artem555,1605
55,artem555,1594
56,artem555,1616
57,artem555,1606
58,artem555,1640
59,artem555,1632
60,artem555,1632
61,artem555,1635
62,artem555,1654
63,artem555,1647
64,artem555,1618
